Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
React. Современные шаблоны для разработки приложений,"Бэнкс Алекс, Порселло Ева",Питер Бестселлеры O`Reilly,1780,2282,22%,На складе
JavaScript. Обработка событий на примерах. Учебное пособие,Янцев Валерий Викторович,Лань Компьютеры и программное обеспечение,1481,2794,47%,На складе
ASP.NET CORE в действии,Лок Эндрю,ДМК-Пресс,2803,5289,47%,На складе
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100,Маслюк Даниил,ДМК-Пресс,1367,2580,47%,На складе
Программирование на PHP в примерах и задачах,Васильев Алексей,Эксмо-Пресс Российский компьютерный бестселлер,950,1301,27%,На складе
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel,Воскобойников Юрий Евгеньевич,Лань Компьютеры и программное обеспечение,1358,2563,47%,На складе
Инженерные расчеты. Книга-билингва. Учебное пособие,Очков Валерий Федорович и др.,Лань Компьютеры и программное обеспечение,2221,4191,47%,На складе
Системы искусственного интеллекта. Моделирование нейронных сетей в системе MATLAB. Лабораторный пр.,"Романов Петр Сергеевич, Романова Ирина Петровна",Лань Компьютеры и программное обеспечение,864,1630,47%,Ограничено
JavaScript. Обработка событий на примерах. Учебное пособие для СПО,Янцев Валерий Викторович,Лань Компьютеры и программное обеспечение,1340,2528,47%,Ограничено
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО,Алексеев Владимир Анатольевич,Лань Компьютеры и программное обеспечение,1229,2318,47%,Ограничено
Ghidra. Полное руководство,"Игл Крис, Нэнс Кара",ДМК-Пресс,2599,4903,47%,На складе
Изучаем WinUI 3.0,Эшкрафт Элвин,ДМК-Пресс,1367,2580,47%,На складе
JavaScript для профессиональных веб-разработчиков,Фрисби Мэтт,Питер Для профессионалов,3180,4077,22%,На складе
Осваиваем Ethereum. Создание смарт-контрактов и децентрализованных приложений,"Антонопулос Андреас М., Вуд Гэвин",Бомбора Мировой компьютерный бестселлер,2078,2846,27%,На складе
SQL за 10 минут,Форта Бен,Вильямс,1491,2813,47%,Ограничено
Облачные архитектуры. Разработка устойчивых и экономичных облачных приложений,Лащевски Том и др.,Питер Библиотека программиста,1430,1833,22%,На складе
Делай как в Google. Разработка программного обеспечения,Винтерс Титус и др.,Питер Бестселлеры O`Reilly,2600,3333,22%,На складе
Программируем на C# 8.0. Разработка приложений,Гриффитс Иэн,Питер Бестселлеры O`Reilly,3753,4812,22%,На складе
C# 9.0. Справочник. Полное описание языка,Албахари Джозеф,Диалектика,5351,10097,47%,На складе
Изучаем квантовые вычисления на Python и Q#,"Кайзер Сара, Гранад Кристофер",ДМК-Пресс,1914,3611,47%,На складе
"Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие",Ощепков Александр Юрьевич,Лань Учебники для вузов. Специальная литература,1421,2681,47%,На складе
Коды с суммированием для систем технического диагностирования. В 2-х томах,Сапожников Валерий Владимирович и др.,Наука,1075,2029,47%,На складе
Основы тестирования программного обеспечения. Учебное пособие для СПО,Старолетов Сергей Михайлович,Лань Компьютеры и программное обеспечение,1293,2440,47%,На складе
"Гид по Computer Science, расширенное издание",Спрингер Вильям,Питер Библиотека программиста,1085,1391,22%,На складе
Как работают компьютерные сети и интернет,Северанс Чарльз Р.,ДМК-Пресс,820,1547,47%,На складе
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow,"Ханнес Хапке, Нельсон Кэтрин",ДМК-Пресс,1367,2580,47%,На складе
"SQL для хранения, обработки и анализа данных","Туманов Владимир Евгеньевич, Гайфуллин Булат Накиевич",Солон-пресс Библиотека студента,545,1028,47%,На складе
"Безопасность веб-приложений. Разведка, защита, нападение",Хоффман Эндрю,Питер Бестселлеры O`Reilly,2309,2960,22%,На складе
Распределенные данные. Алгоритмы работы современных систем хранения информации,Петров Алекс,Питер Бестселлеры O`Reilly,2501,3206,22%,На складе
Безопасно by Design,Берг Джонсон Дэн и др.,Питер Библиотека программиста,2026,2598,22%,На складе
"Разработка на JavaScript. Построение кроссплатформенных приложений с помощью GraphQL, React",Скотт Адам Д.,Питер Бестселлеры O`Reilly,2201,2822,22%,На складе
Пакет прикладных программ. Учебное пособие,Шитов Виктор Николаевич,ИНФРА-М Среднее профессиональное образование,1717,3240,47%,На складе
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor,Лянг Виктор Федорович,ИНФРА-М Высшее образование. Бакалавриат,1361,2567,47%,На складе
Искусство тестирования на проникновение в сеть,Дэвис Ройс,ДМК-Пресс,1367,2580,47%,На складе
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,ДМК-Пресс,1230,2321,47%,На складе
Data Science для карьериста,"Нолис Жаклин, Робинсон Эмили",Питер Библиотека программиста,2251,2886,22%,На складе
"Экстремальный Cи. Параллелизм, ООП и продвинутые возможности",Амини Камран,Питер Для профессионалов,2844,3646,22%,На складе
Алгоритмы обработки текста. 125 задач с решениями,Крошемор Максим и др.,ДМК-Пресс,1367,2580,47%,На складе
Аналитика в Power BI с помощью R и Python,Уэйд Райан,ДМК-Пресс,1778,3354,47%,На складе
Программирование. Введение в профессию. Том 2. Системы и сети,Столяров Андрей Викторович,ДМК-Пресс,2051,3869,47%,На складе
Программирование. Введение в профессию. Том 3. Парадигмы,Столяров Андрей Викторович,ДМК-Пресс,2051,3869,47%,На складе
"Python, например",Лейси Никола,Питер Библиотека программиста,1142,1464,22%,На складе
Знакомство с программированием на языке Processing,"Риас Кейси, Фрай Бен",ДМК-Пресс,1025,1934,47%,На складе
Принятие решений и феномен неопределенности. Учебное пособие,Клименко Игорь Семенович,Лань Компьютеры и программное обеспечение,1164,2196,47%,Ограничено
JavaScript для глубокого обучения. TensorFlow.js,Шолле Франсуа и др.,Питер Библиотека программиста,3246,4162,22%,На складе
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,683,1289,47%,На складе
"Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512",Куссвюрм Даниэль,ДМК-Пресс,2187,4127,47%,На складе
Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений,Райс Лиз,Питер Бестселлеры O`Reilly,2072,2657,22%,На складе
Те же 10 вопросов через 20 лет. Офис и компьютер,Проскурин Сергей Павлович,Деловой двор,316,405,22%,На складе
Программирование. Введение в профессию. Том 1. Азы программирования,Столяров Андрей Викторович,ДМК-Пресс,2051,3869,47%,На складе
Имитационное моделирование процессов и систем в АПК. Учебное пособие,"Худякова Елена Викторовна, Липатов Алексей Александрович",Колос Учебники и учебные пособия для студентов вузов,1436,2710,47%,На складе
ВОСХОД программиста,Земцов А. Н.,Деловой двор Хочу в СССР,920,1180,22%,На складе
JavaScript с нуля,Чиннатамби Кирупа,Питер Библиотека программиста,1415,1814,22%,На складе
Наглядный CSS,Сидельников Грег,Питер Библиотека программиста,1286,1649,22%,На складе
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер Библиотека программиста,4883,6260,22%,На складе
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов,Умрихин Евгений Дмитриевич,Лань Компьютеры и программное обеспечение,1758,3317,47%,Ограничено
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО,Умрихин Евгений Дмитриевич,Лань Компьютеры и программное обеспечение,1676,3162,47%,На складе
Программирование.Сборник задач.СПО,"Батасова Валентина Сергеевна, Гречкина Полина Викторовна",Лань Компьютеры и программное обеспечение,1035,1953,47%,Ограничено
Математическое программирование.СПО,Ганичева Антонина Валериановна,Лань Математика,726,1370,47%,Ограничено
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64,Йо Ван Гуй,ДМК-Пресс,1367,2580,47%,На складе
Обработка и представление данных в MS Excel. Учебное пособие,"Бурнаева Эльфия Гарифовна, Леора Светлана Николаевна",Лань Компьютеры и программное обеспечение,691,1304,47%,На складе
Вычисления в кольцах некоммутативных многочленов,Цирулик Владимир Григорьевич,Лань Компьютеры и программное обеспечение,2223,4194,47%,Ограничено
Парадигма программирования. Учебное пособие,Городняя Лидия Васильевна,Лань Учебники для вузов. Специальная литература,1343,2534,47%,Ограничено
ASP.NET Core 3 с примерами на C# для профессионалов,Фримен Адам,Вильямс,5495,10368,47%,Ограничено
Защита данных. От авторизации до аудита,Андресс Джейсон,Питер Для профессионалов,1415,1814,22%,На складе
Создаем динамические веб-сайты на PHP,"Татро Кевин, Макинтайр Питер",Питер Бестселлеры O`Reilly,2129,2730,22%,На складе
HTTP/2 в действии,Поллард Барри,ДМК-Пресс,1778,3354,47%,На складе
Методика моделирования динамики октокоптера,Щекатуров Александр Михайлович,ДМК-Пресс,1094,2064,47%,На складе
"Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое",Курт Уилл,Питер Библиотека программиста,2558,3279,22%,На складе
Python. Лучшие практики и инструменты,"Яворски Михаил, Зиаде Терек",Питер Библиотека программиста,2558,3279,22%,На складе
Вероятностное программирование. Учебное пособие,Колбин Вячеслав Викторович,Лань Математика,1740,3283,47%,Ограничено
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие,"Пащенко Федор Федорович, Кудинов Юрий Иванович",Лань Компьютеры и программное обеспечение,2221,4191,47%,На складе
Обработка естественного языка. Python и spaCy на практике,Васильев Юрий,Питер Библиотека программиста,1423,1824,22%,На складе
Python для финансовых расчетов,Хилпиш Ив,Диалектика Самоучитель,7314,13800,47%,Ограничено
Разработка и анализ компьютерных алгоритмов,Ахо Альфред В. и др.,Вильямс,2107,3976,47%,На складе
Научное программирование на Python,Хилл Кристиан,ДМК-Пресс,2187,4127,47%,На складе
C#. Алгоритмы и структуры данных (+CD). СПО,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань Компьютеры и программное обеспечение,1304,2460,47%,На складе
C#. Основы программирования (+CD). СПО,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань Компьютеры и программное обеспечение,1360,2566,47%,Ограничено
