Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
JavaScript для чайников,"Минник Крис, Холланд Ева","Диалектика Для ""чайников""",1491,2813,47%,На складе
Легкий способ выучить Python 3,Шоу Зед А.,Бомбора Мировой компьютерный бестселлер,856,1172,27%,На складе
Jenkins 2. Приступаем к работе. Создайте свой конвейер развертывания для автоматизации следующего п.,Ластер Брент,ДМК-Пресс,1914,3611,47%,На складе
Реактивное программирование на С++. Проектирование параллельных и асинхронных приложений с использов,"Пай Прасид, Абрахам Питер",ДМК-Пресс,1230,2321,47%,На складе
Изображение квантовых процессов. Начальный курс квантовой теории и рассуждений на диаграммах,"Коке Боб, Киссинждер Алекс",ДМК-Пресс,2734,5159,47%,На складе
Unreal Engine VR для разработчиков,Маккефри Митч,Бомбора Мировой компьютерный бестселлер,1211,1659,27%,На складе
Django 2 в примерах,Меле Антонио,ДМК-Пресс,1367,2580,47%,На складе
Глубокое обучение без математики. Том 1. Основы,Гласснер Эндрю,ДМК-Пресс,2325,4386,47%,На складе
Программирование в среде Lazarus. Учебное пособие,Гуриков Сергей Ростиславович,Форум Среднее профессиональное образование,2150,4057,47%,На складе
Введение в программную инженерию. Учебник,Антипов Владимир Анатольевич и др.,ИНФРА-М,1552,2929,47%,На складе
Программирование и основы алгоритмизации.Теоретические основы и примеры реализации численных методов,"Затонский Андрей Владимирович, Бильфельд Николай Валентинович",РИОР Высшее образование,790,1491,47%,Ограничено
Программное обеспечение компьютерных сетей и web-серверов. Учебное пособие,Лисьев Григорий Авенирович и др.,ИНФРА-М Среднее профессиональное образование,687,1296,47%,На складе
Технологии параллельного программирования. Учебное пособие,"Лупин Сергей Андреевич, Посыпкин Михаил Анатольевич",Форум Высшее образование,969,1828,47%,На складе
Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем,Паттанаяк Сантану,Вильямс,2107,3976,47%,На складе
Введение в анализ алгоритмов,Солтис Майкл,ДМК-Пресс,1230,2321,47%,На складе
"Наш код. Ремесло, профессия, искусство",Бугаенко Егор,Питер Библиотека программиста,957,1227,22%,Ограничено
Практикум по решению задач на ЭВМ в среде Delphi. Учебное пособие,"Бунаков Павел Юрьевич, Лопатин А. К.",Форум Среднее профессиональное образование,1745,3292,47%,На складе
Анализ вредоносных программ,Монаппа К. А.,ДМК-Пресс,1367,2580,47%,На складе
Java. Библиотека профессионала. Том 1. Основы,Хорстманн Кей С.,Диалектика,3776,7125,47%,На складе
Применение UML 2.0 и шаблонов проектирования,Ларман Крэг,Диалектика,5267,9938,47%,На складе
Программирование на Javascript для чайников,"Минник Крис, Холланд Ева","Диалектика Для ""чайников""",1010,1906,47%,На складе
Язык программирования C++. Краткий курс,Страуструп Бьярне,Диалектика,1515,2858,47%,На складе
Численные методы и программирование. Учебное пособие,Колдаев Виктор Дмитриевич,Форум Среднее профессиональное образование,1580,2981,47%,На складе
Kafka Streams в действии. Приложения и микросервисы для работы в реальном времени,Беджек Билл,Питер Для профессионалов,2058,2638,22%,На складе
Микросервисы и контейнеры Docker,Кочер Парминдер Сингх,ДМК-Пресс,1230,2321,47%,На складе
Биометрическая защита. Обзор технологии,Суомалайнен Антти,ДМК-Пресс,219,413,47%,На складе
Легкий способ выучить Java,Пейн Брайсон,Бомбора Мировой компьютерный бестселлер,1037,1421,27%,На складе
Программирование в Erlang,"Томпсон Саймон, Чезарини Франческо",ДМК-Пресс Функциональное программирование,957,1806,47%,На складе
Искусство программирования. Том 2. Получисленные алгоритмы,Кнут Дональд Эрвин,Диалектика,4486,8465,47%,Ограничено
Искусственный интеллект для чайников,"Мюллер Джон Пол, Массарон Лука","Диалектика Для ""чайников""",1374,2592,47%,Ограничено
GraphQL. Язык запросов для современных веб-приложений,"Бэнкс Алекс, Порселло Ева",Питер,1044,1338,22%,На складе
Современные технологии программирования. Разработка Windows-приложений на языке С#. Учебник. Том 2,Горелов Сергей Витальевич,Прометей,893,1685,47%,На складе
Компьютерное зрение. Теория и алгоритмы,Клетте Рейнхард,ДМК-Пресс,2325,4386,47%,На складе
Java. Оптимизация программ. Практические методы повышения производительности приложений в JVM,Эванс Бенджамин и др.,Диалектика,3776,7125,47%,На складе
CSS. Полный справочник. Визуальное форматирование веб-страниц,"Мейер Эрик, Уэйл Эстель",Диалектика,5351,10097,47%,На складе
Искусство программирования на R. Погружение в большие данные,Мэтлофф Норман,Питер Библиотека программиста,1370,1757,22%,На складе
Базовые средства программирования на Visual Basic в среде VisualStudio Net. Практикум. Учебное пособ,Шакин Виктор Николаевич,Форум Среднее профессиональное образование,1498,2826,47%,Ограничено
Алгоритмизация и программирование. Практикум. Учебное пособие,Андрианова Анастасия Александровна и др.,Лань Учебники для вузов. Специальная литература,1217,2297,47%,На складе
Структуры и алгоритмы обработки данных. Линейные структуры. Учебное пособие,Апанасевич Сергей Александрович,Лань Учебники для вузов. Специальная литература,949,1791,47%,На складе
Самоучитель игры на Паскале. ABC и немного Турбо,Комлев Николай Юрьевич,Солон-пресс Библиотека студента,704,1083,35%,На складе
Unity и C#. Геймдев от идеи до реализации,Бонд Джереми Гибсон,Питер Для профессионалов,2955,3788,22%,На складе
PostgreSQL 11. Мастерство разработки,Шениг Ганс-Юрген,ДМК-Пресс,1367,2580,47%,На складе
Разработка АСУТП в среде WinCC. Учебное пособие,"Иванов Виктор Эдуардович, Чье Ен Ун",Инфра-Инженерия,1340,2528,47%,На складе
Автоматизация программируемых сетей,Эделман Джейсон и др.,ДМК-Пресс,2051,3869,47%,На складе
Изучаем pandas,"Хейдт Майкл, Груздев Артем Владимирович",ДМК-Пресс,2325,4386,47%,На складе
"Разработка бизнес-приложений на платформе ""1С:Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М Высшее образование. Бакалавриат,1552,2929,47%,На складе
Базовые средства программирования на Visual Basic в среде VisualStudio .NET. Учебное пособие,Шакин Виктор Николаевич,Форум Среднее профессиональное образование,1745,3292,47%,На складе
Прикладная обработка биомедицинских изображений в среде MATLAB. Учебное пособие,Федотов Александр Александрович,Лань Учебники для вузов. Специальная литература,474,895,47%,На складе
"Изучаем HTML, XHTML и CSS","Робсон Элизабет, Фримен Эрик",Питер Head First (O'Reilly),2516,3226,22%,На складе
Умные мобильные проекты с TensorFlow,Танг Джефф,ДМК-Пресс Машинное обучение,1367,2580,47%,На складе
Алгоритмы на Java,"Седжвик Роберт, Уэйн Кевин",Вильямс,5851,11040,47%,На складе
C++. Полное руководство. Классическое издание,Шилдт Герберт,Вильямс,4472,8438,47%,Ограничено
Spring 5 для профессионалов,Шефер Крис и др.,Вильямс,5851,11040,47%,На складе
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта,Джоши Пратик,Вильямс,2981,5625,47%,На складе
"Основы машинного обучения для аналитического прогнозирования. Алгоритмы, рабочие примеры",Келлехер Джон Д. и др.,Вильямс,3481,6567,47%,На складе
Разработка SCADA-систем. Учебное пособие,Кангин Владимир Венедиктович и др.,Инфра-Инженерия,1470,2774,47%,На складе
Язык и среда программирования R. Учебное пособие,Золотарюк Анатолий Васильевич,ИНФРА-М Высшее образование. Бакалавриат,770,1452,47%,На складе
Прагматичный ИИ. Машинное обучение и облачные технологии,Гифт Ной,Питер Для профессионалов,1562,2002,22%,На складе
Язык программирования С++ (стандарт С++11). Краткий курс,Страуструп Бьерн,Бином,361,682,47%,На складе
Внедрение Splunk 7,Миллер Джеймс,ДМК-Пресс,1778,3354,47%,На складе
Java за 24 часа,Кейденхед Роджерс,Диалектика,1374,2592,47%,На складе
Совершенный алгоритм. Основы,Рафгарден Тим,Питер Библиотека программиста,1158,1485,22%,На складе
Машинное обучение и TensorFlow,Шакла Нишант,Питер Библиотека программиста,1501,1924,22%,На складе
Дискретная математика. Учимся программировать в Wolfram Mathematica,"Фридман Григорий Морицович, Иванов О. А.",Питер Учебник для вузов,931,1193,22%,На складе
Современные технологии программирования: разработка Windows-приложений на языке С#. Том 1,Горелов Сергей Витальевич,Прометей,839,1583,47%,На складе
Основы технологий баз данных. Учебное пособие,"Новиков Борис Асенович, Горшкова Екатерина Александровна",ДМК-Пресс,820,1547,47%,На складе
Git для профессионального программиста,"Чакон Скотт, Страуб Бен",Питер Библиотека программиста,1427,1829,22%,На складе
Простой Python просто с нуля,Гаско Рик,Солон-пресс Программирование,643,1214,47%,На складе
Моделирование объектов управления в MatLab. Учебное пособие,"Затонский Андрей Владимирович, Тугашова Лариса Геннадьевна",Лань Учебники для вузов. Специальная литература,1048,1978,47%,На складе
Основы алгоритмизации и программирования (ОП.04). Практикум,Серкова Екатерина Геннадьевна,Феникс Среднее профессиональное образование,589,,,На складе
Программирование на C# для начинающих. Особенности языка,Васильев Александр Николаевич,Бомбора Российский компьютерный бестселлер,1080,1480,27%,На складе
"Компиляторы. Принципы, технологии и инструментарий",Ахо Альфред В. и др.,Диалектика,6869,12960,47%,На складе
Архитектура вычислительных систем и Ассемблер,"Гагарина Лариса Геннадьевна, Кононова Александра Игоревна",Солон-пресс Библиотека студента,753,1421,47%,На складе
Delphi. Программирование в примерах и задачах. Практикум: Учебное пособие,"Милорадов Константин Александрович, Эйдлина Галина Михайловна",РИОР Высшее образование,567,1069,47%,На складе
Delphi. Программирование в примерах и задачах. Практикум. Учебное пособие,"Милорадов Константин Александрович, Эйдлина Галина Михайловна",РИОР Среднее профессиональное образование,646,1219,47%,На складе
"Web-аппликации в интернет-маркетинге. Проектирование, создание и применение. Практическое пособие","Винарский Яков Самуилович, Гутгарц Римма Давыдовна",ИНФРА-М Среднее профессиональное образование,1182,2230,47%,На складе
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер Бестселлеры O`Reilly,2077,2663,22%,На складе
Kubernetes в действии,Лукша Марко,ДМК-Пресс,2051,3869,47%,На складе
Смарт-карты и информационная безопасность,"Мытник Константин Яковлевич, Панасенко Сергей Петрович",ДМК-Пресс Безопасность и защита,1524,2875,47%,На складе
Эффективный и современный С++. 42 рекомендации по использованию C++11 и C++14,Мейерс Скотт,Диалектика,2981,5625,47%,На складе
Пользовательские истории. Гибкая разработка программного обеспечения,Кон Майк,Диалектика,2749,5186,47%,На складе
Паскаль для школьников. Учебное пособие,Попов В. Б.,РИОР,2267,3487,35%,На складе
Python. Экспресс-курс,Седер Наоми,Питер Библиотека программиста,1544,1980,22%,На складе
Архитектура компьютера,"Таненбаум Эндрю, Остин Т.",Питер Классика computer science,2026,2597,22%,На складе
Java. Руководство для начинающих,Шилдт Герберт,Диалектика,3481,6567,47%,На складе
Алгоритмы. Построение и анализ,Кормен Томас и др.,Диалектика,8778,16562,47%,На складе
Изучай Erlang во имя добра!,Хеберт Фред,ДМК-Пресс,1230,2321,47%,На складе
Программируй на Haskell,Курт Уилл,ДМК-Пресс Функциональное программирование,1640,3095,47%,На складе
"Конфигурирование и моделирование в системе ""1С: Предприятие"". Учебник",Дадян Эдуард Григорьевич,ИНФРА-М Высшее образование. Магистратура,2185,4122,47%,На складе
Алгоритмы на C++,Седжвик Роберт,Вильямс,5851,11040,47%,Ограничено
Теоретический минимум по Big Data. Всё что нужно знать о больших данных,"Ын Анналин, Су Кеннет",Питер Библиотека программиста,780,1000,22%,На складе
Основы программирования на языке Python,Златопольский Дмитрий Михайлович,ДМК-Пресс,549,1035,47%,На складе
Методы научных исследований в программной инженерии,Пантелеев Евгений Рафаилович,Лань Учебники для вузов. Специальная литература,655,1236,47%,На складе
Структуры данных в C#. Линейные и нелинейные динамические структуры. Учебное пособие,Симонова Елена Витальевна,Лань Учебники для вузов. Специальная литература,854,1612,47%,Ограничено
Программируем на Python,Доусон Майкл,Питер,1257,1611,22%,На складе
Практика программирования,"Керниган Брайан, Пайк Роб",Вильямс,2286,4313,47%,На складе
Введение в системы баз данных,Дейт К. Дж.,Диалектика,5851,11040,47%,На складе
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер Для профессионалов,1337,1714,22%,На складе
Решение задач на современном C++,Бансила Мариус,ДМК-Пресс,1094,2064,47%,На складе
Философия Java,Эккель Брюс,Питер Классика computer science,2529,3242,22%,На складе
Python для сложных задач. Наука о данных и машинное обучение,Плас Дж. Вандер,Питер Бестселлеры O`Reilly,1818,2331,22%,На складе
Разработка программных приложений в среде BlackBox. Учебное пособие,Болотнов Анатолий Миронович,Лань Учебники для вузов. Специальная литература,849,1601,47%,На складе
Технологии интеллектуального анализа данных. Учебное пособие,"Макшанов Андрей Владимирович, Журавлев Антон Евгеньевич",Лань Учебники для вузов. Специальная литература,1118,2109,47%,На складе
Осваиваем C++17 STL. Используйте компоненты стандартной библиотеки в C++17 STL в полной мере,О`Двайр Артур,ДМК-Пресс,1367,2580,47%,На складе
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих,Бхаргава Адитья,Питер Библиотека программиста,944,1210,22%,На складе
Построение систем машинного обучения на языке Python,"Коэльо Луис Педро, Ричарт Вилли",ДМК-Пресс,1067,2013,47%,На складе
Head First. Паттерны проектирования. Обновленное юбилейное издание,Фримен Эрик и др.,Питер Head First (O'Reilly),1730,2218,22%,На складе
C# для профессионалов. Тонкости программирования,Скит Джон,Вильямс,4472,8438,47%,На складе
Python. Карманный справочник,Лутц Марк,Диалектика,1193,2250,47%,На складе
Искусство программирования. Том 1. Основные алгоритмы,Кнут Дональд Эрвин,Вильямс,5351,10097,47%,На складе
"Шаблоны интеграции корпоративных приложений. Проектирование, создание и развертывание решений","Хоп Грегор, Вульф Бобби",Диалектика,4854,9159,47%,На складе
Язык программирования C. Лекции и упражнения,Прата Стивен,Диалектика,4854,9159,47%,На складе
C# 4.0. Полное руководство,Шилдт Герберт,Диалектика,3481,6567,47%,На складе
Реализация методов предметно-ориентированного проектирования,Вернон Вон,Диалектика,4472,8438,47%,Ограничено
Веб-программирование для чайников,Никхил Абрахам,"Диалектика Для ""чайников""",1649,3112,47%,Ограничено
PHP7 для начинающих с пошаговыми инструкциями,МакГрат Майк,Эксмо-Пресс Программирование - это просто,630,863,27%,На складе
Angular. Сборник рецептов,Фрисби Мэтт,Вильямс,1374,2592,47%,Ограничено
Java. Полное руководство,Шилдт Герберт,Вильямс,5037,9504,47%,На складе
Исследование операций,Таха Хемди А.,Диалектика,2981,5625,47%,На складе
Разработка игр и теория развлечений,Костер Рэф,ДМК-Пресс,1094,2064,47%,На складе
Компиляторы. Краткий справочник,Хантер Робин,Вильямс,825,1556,47%,Ограничено
Структуры данных и алгоритмы,Ахо Альфред В. и др.,Вильямс,2981,5625,47%,На складе
Шаблоны C++. Справочник разработчика,Вандевурд Дэвид и др.,Диалектика,3481,6567,47%,Ограничено
Java Persistence API и Hibernate,Бауэр Кристиан и др.,ДМК-Пресс,1367,2580,47%,На складе
Байесовские модели. Байесовская статистика на языке Python,Дауни Аллен Б.,ДМК-Пресс,957,1806,47%,На складе
CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#. 4-е издание,Рихтер Джеффри,Питер Мастер-класс,2155,2763,22%,На складе
Ядро ORACLE. Внутреннее устройство для администраторо и разработчиков баз данных,Льюис Джонатан,ДМК-Пресс,1094,2064,47%,На складе
Идеальный программист. Как стать профессионалом разработки ПО,Мартин Роберт С.,Питер,751,963,22%,На складе
Apache Kafka. Потоковая обработка и анализ данных,Нархид Ния и др.,Питер Бестселлеры O`Reilly,1591,2040,22%,На складе
Site Reliability Engineering. Надежность и безотказность как в Google,Бейер Бетси и др.,Питер Бестселлеры O`Reilly,2016,2585,22%,На складе
Akka в действии,Рестенбург Раймонд и др.,ДМК-Пресс,1367,2580,47%,На складе
Искусство создания сценариев в Unity,Торн Алан,ДМК-Пресс,1094,2064,47%,На складе
Основы работы с технологией CUDA,"Боресков Алексей Викторович, Харламов Александр Александрович",ДМК-Пресс,549,1035,47%,На складе
WebGL. Программирование трехмерной графики,"Мацуда Коичи, Ли Роджер",ДМК-Пресс,1094,2064,47%,На складе
Чистый Python. Тонкости программирования для профи,Бейдер Дэн,Питер Библиотека программиста,1353,1734,22%,На складе
Теория измеримых множеств и мультимножеств,Петровский Алексей Борисович,Наука,609,1149,47%,На складе
Введение в распределенное моделирование в среде NetLogo,Ершов Николай Михайлович,ДМК-Пресс,1230,2321,47%,На складе
"Искусственный интеллект .NET. Речь, язык и поиск","Патак Нишит, Бхандари Анураг",ДМК-Пресс,1094,2064,47%,Ограничено
Элегантный SciPy,Нуньес-Иглесиас Хуан и др.,ДМК-Пресс,1299,2450,47%,На складе
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1060,2000,47%,На складе
Язык декларативного программирования XAML,Подбельский Вадим Валерьевич,ДМК-Пресс,1025,1934,47%,Ограничено
Облачные технологии поддержки решения задач анализа безубыточности. Монография,Смирнов Денис Евгеньевич,Прометей,316,596,47%,Ограничено
Программист-фанатик,Фаулер Чед,Питер Библиотека программиста,686,880,22%,На складе
C# 7 и .NET Core. Кросс-платформенная разработка для профессионалов,Прайс Марк Дж.,Питер Библиотека программиста,2023,2594,22%,На складе
Компьютерные вирусы и антивирусы: взгляд программиста,Климентьев Константин Евгеньевич,ДМК-Пресс Профессиональное программирование,1094,2064,47%,На складе
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань Учебники для вузов. Специальная литература,732,1381,47%,На складе
Программирование на C# для начинающих. Основные сведения,Васильев Алексей Николаевич,Бомбора Российский компьютерный бестселлер,1124,1540,27%,На складе
Хакинг. Искусство эксплойта,Эриксон Джон,Питер,1809,2319,22%,На складе
Глубокое обучение на Python,Шолле Франсуа,Питер Библиотека программиста,1558,1998,22%,На складе
Java SE 9. Базовый курс,Хорстманн Кей С.,Диалектика,3837,7240,47%,Ограничено
LabVIEW в научных исследованиях,Евдокимов Юрий Кириллович и др.,ДМК-Пресс Все о LabVIEW,1025,1934,47%,На складе
Python. Разработка на основе тестирования,Персиваль Гарри,ДМК-Пресс,2051,3869,47%,На складе
"Чистый код. Создание, анализ и рефакторинг",Мартин Роберт С.,Питер,823,1055,22%,На складе
Разработка одностраничных веб-приложений,"Миковски Майкл С., Пауэлл Джош К.",ДМК-Пресс,1094,2064,47%,На складе
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику,Феррейра Фило Владстон,Питер Библиотека программиста,782,1002,22%,На складе
Программирование искусственного интеллекта в приложениях,Джонс М. Тим,ДМК-Пресс Для программистов,683,1289,47%,На складе
Программирование на Ардуино. От простого к сложному,Мамичев Дмитрий Иванович,Солон-пресс Радиоэлектроника,512,966,47%,На складе
Запускаем Ansible,"Хохштейн Лорин, Мозер Рене",ДМК-Пресс,1367,2580,47%,На складе
Современный Java. Рецепты программирования,Коузен Кен,ДМК-Пресс,1094,2064,47%,На складе
Сам себе программист. Как научиться программировать и устроиться в Ebay?,Альтхофф Кори,Бомбора Мировой компьютерный бестселлер,716,981,27%,На складе
"Программное обеспечение геодезии, фотограм, кадастра, инж.из.",Браверман Борис Аронович,Инфра-Инженерия,763,1440,47%,На складе
Собираем устройства для тестов на проникновение,Бирюков Андрей Александрович,ДМК-Пресс,1025,1934,47%,На складе
Java. Карманный справочник,"Лигуори Роберт, Лигуори Патрисия",Вильямс,1374,2592,47%,На складе
С++17 STL. Стандартная библиотека шаблонов,Галовиц Яцек,Питер Библиотека программиста,1523,1953,22%,Ограничено
Чистая архитектура. Искусство разработки программного обеспечения,Мартин Роберт С.,Питер Библиотека программиста,1022,1310,22%,На складе
Простая Математика для Простых Программистов,Гаско Рик,Солон-пресс Программирование,596,1125,47%,На складе
Простой учебник программирования,Гаско Рик,Солон-пресс Программирование,671,1266,47%,На складе
Потоковая обработка данных. Конвейер реального времени,Пселтис Эндрю Дж.,ДМК-Пресс,957,1806,47%,На складе
Java для чайников,Берд Барри,"Диалектика Для ""чайников""",2286,4313,47%,На складе
Психбольница в руках пациентов. Алан Купер об интерфейсах,Купер Алан,Питер Библиотека программиста,1399,1794,22%,На складе
"Высоконагруженные приложения. Программирование, масштабирование, поддержка",Клеппман Мартин,Питер Бестселлеры O`Reilly,2713,3478,22%,На складе
Глубокое обучение с точки зрения практика,"Паттерсон Джош, Гибсон Адам",ДМК-Пресс,1778,3354,47%,На складе
Думай как программист. Креативный подход к созданию кода. C++ версия,Спрол Антон,Бомбора Мировой компьютерный бестселлер,760,1041,27%,На складе
Релевантный поиск с использованием Elasticsearch и Solr,"Тарнбулл Даг, Берримен Джон",ДМК-Пресс,1230,2321,47%,На складе
Программирование на языке Rust. Цветное издание,"Блэнди Джим, Орендорф Джейсон",ДМК-Пресс,2051,3869,47%,На складе
Алгоритмы для начинающих. Теория и практика для разработчика,Луридас Панос,Бомбора Мировой компьютерный бестселлер,1167,1599,27%,На складе
Язык С в XXI веке,Клеменс Бен,ДМК-Пресс,1025,1934,47%,На складе
Android. Сборник рецептов. Задачи и решения для разработчиков приложений,Дарвин Ян Ф.,Диалектика,3481,6567,47%,Ограничено
Официальное руководство Cisco по подготовке к сертификационным экзаменам CCENT/CCNA ICND1 100-105,Одом Уэнделл,Вильямс,6869,12960,47%,На складе
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров,Абельская Раиса Шолемовна,Флинта,187,352,47%,На складе
Анализ социальных медиа на Python,Бонцанини Марко,ДМК-Пресс,1094,2064,47%,На складе
Глубокое обучение (цветная),Бенджио Иошуа и др.,ДМК-Пресс,2734,5159,47%,На складе
"Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD)",Сизиков Валерий Сергеевич,Лань Учебники для вузов. Специальная литература,1929,3640,47%,На складе
Функциональное программирование на JavaScript. Как улучшить код JavaScript-программ,Атенсио Луис,Вильямс,1832,3456,47%,На складе
Разработка операционной системы и компилятора. Проект Оберон,"Вирт Никлаус, Гуткнехт Юрг",ДМК-Пресс Классика программирования,1094,2064,47%,На складе
CodeVisionAVR. Пособие для начинающих,Лебедев Михаил Борисович,ДМК-Пресс Программируемые системы,957,1806,47%,На складе
"Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET",Ховард Майкл и др.,ДМК-Пресс,761,1436,47%,На складе
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер Библиотека программиста,2271,2912,22%,На складе
Искусство алгоритмизации,Потопахин Виталий Валерьевич,ДМК-Пресс,751,1417,47%,На складе
Java 9. Полный обзор нововведений,Кишори Шаран,ДМК-Пресс Программирование,1367,2580,47%,Ограничено
Kotlin в действии,"Жемеров Дмитрий Борисович, Исакова Светлана Сергеевна",ДМК-Пресс,1371,2587,47%,На складе
Конкурентное программирование на Scala,Прокопец Александр,ДМК-Пресс,1162,2192,47%,На складе
Крупномасштабное машинное обучение вместе с Python,Шарден Бастиан и др.,ДМК-Пресс,1094,2064,47%,На складе
Программирование на Clojure,Эмерик Чаз и др.,ДМК-Пресс Функциональное программирование,1640,3095,47%,На складе
C# 7.0. Карманный справочник. Скорая помощь для программистов на C# 7.0,"Албахари Джозеф, Албахари Бен",Вильямс,1213,2288,47%,Ограничено
Адаптивный код. Гибкое кодирование с помощью паттернов проектирования и принципов SOLID,Холл Гэри Маклин,Вильямс,2749,5186,47%,На складе
Секреты JavaScript ниндзя,Резиг Джон и др.,Вильямс,3837,7240,47%,На складе
Курс программирования на языке Си. Учебник,"Подбельский Вадим Валерьевич, Фомин Сергей Сергеевич",ДМК-Пресс,820,1547,47%,На складе
СУБД для программиста. Базы данных изнутри,Тарасов Сергей Витальевич,Солон-пресс Библиотека профессионала,849,1601,47%,На складе
Объектно-ориентированное программирование в С++,Лафоре Роберт,Питер Классика computer science,1886,2418,22%,На складе
Язык программирования C++. Базовый курс,Липпман Стенли Б. и др.,Вильямс,4854,9159,47%,Ограничено
Машинное обучение с использованием библиотеки Н2О,Кук Даррен,ДМК-Пресс,1094,2064,47%,На складе
Программирование. Принципы и практика с использованием C++,Страуструп Бьярне,Вильямс,5851,11040,47%,На складе
Создаем нейронную сеть,Рашид Тарик,Вильямс,2981,5625,47%,На складе
Библиотека Keras - инструмент глубокого обучения,"Джулли Антонио, Пал Суджит",ДМК-Пресс,1230,2321,47%,На складе
Визуализация данных с помощью библиотеки D3.js 4.x,"Рининсланд Эндрю, Свизек Теллер",ДМК-Пресс,957,1806,47%,На складе
Шаблоны корпоративных приложений,Фаулер Мартин,Диалектика,4122,7778,47%,Ограничено
Visual C# 2.0.NET. Полное руководство,"Прайс Дебора, Гандэрлой Майк",Корона-Принт,531,1001,47%,На складе
Язык программирования C++. Лекции и упражнения,Прата Стивен,Диалектика,5495,10368,47%,На складе
C++ для чайников,Дэвис Стефан Рэнди,"Диалектика Для ""чайников""",1538,2902,47%,На складе
Рефакторинг. Улучшение проекта существующего кода,Бек Кент и др.,Диалектика,3776,7125,47%,На складе
Изучаем программирование на Python,Бэрри Пол,Эксмо Мировой компьютерный бестселлер,1558,2134,27%,На складе
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL,"Редмонд Эрик, Уилсон Джим Р.",ДМК-Пресс,957,1806,47%,На складе
Математическое программирование. Учебное пособие,Карманов Владимир Георгиевич,Физматлит,415,783,47%,Ограничено
jQuery в действии,Бибо Беэр и др.,Питер Для профессионалов,1296,1661,22%,На складе
Шаблоны проектирования Node.JS,"Касиаро Марио, Маммино Лучано",ДМК-Пресс,1162,2192,47%,На складе
Разработка современных веб-приложений. Анализ предметных областей и технологий,Эспозито Дино,Вильямс,2291,4322,47%,На складе
Vulkan. Руководство разработчика,"Селлерс Грехем, Кессенич Джон",ДМК-Пресс,1299,2450,47%,На складе
Среда динамического моделирования технических систем SimInTech,Карташов Борис Александрович и др.,ДМК-Пресс,957,1806,47%,Ограничено
"Алгоритмы. Справочник с примерами на C, C++, Java и Python",Хайнеман Джордж и др.,Вильямс,2981,5625,47%,Ограничено
Изучаем JavaScript. Руководство по созданию современных веб-сайтов,Браун Этан,Вильямс,2107,3976,47%,Ограничено
Изучаем OpenCV 3,"Кэлер Адриан, Брэдски Гэри",ДМК-Пресс,2461,4644,47%,На складе
Семь языков за семь недель. Практическое руководство по изучению языков программирования,Тейт Брюс,ДМК-Пресс,887,1674,47%,На складе
Flash MX для профессиональных программистов. Учебное пособие,Капустин Михаил Анатольевич и др.,Просвещение/Бином Основы информационных технологий,344,574,40%,Ограничено
Программирование на Java для начинающих,Васильев Алексей Николаевич,Эксмо-Пресс Российский компьютерный бестселлер,1037,1421,27%,На складе
Javascript и jQuery. Интерактивная веб-разработка,Дакетт Джон,Эксмо Мировой компьютерный бестселлер,2165,2966,27%,На складе
Предметно - ориентированное проектирование. Самое основное,Вернон Вон,Вильямс,2107,3976,47%,Ограничено
Введение в Elixir. Введение в функциональное программирование,"Сенлорен Симон, Эйзенберг Дэвид",ДМК-Пресс,957,1806,47%,На складе
Моделирование аукционов,Демешев Борис Борисович,ДМК-Пресс,483,911,47%,На складе
Как самому написать мобильную 2D-игру,Язев Юрий Евгеньевич,Солон-пресс Библиотека профессионала,753,1421,47%,Ограничено
Python и машинное обучение,Рашка Себастьян,ДМК-Пресс,1778,3354,47%,На складе
Проектирование пользовательского интерфейса Android,Клифтон Ян,ДМК-Пресс,1367,2580,47%,На складе
Программирование на C в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс Российский компьютерный бестселлер,1124,1540,27%,На складе
"Стек, или Путешествие туда и обратно",Вторников Алексей Анатольевич,ДМК-Пресс,350,660,47%,На складе
Программирование на Visual Basic для начинающих,МакГрат Майк,Эксмо-Пресс Программирование для начинающих (обложка),630,863,27%,На складе
Реактивное программирование с использованием RxJava,"Нуркевич Томаш, Кристенсен Бен",ДМК-Пресс,1162,2192,47%,На складе
Не заставляйте меня думать,Круг Стив,Эксмо-Пресс Мировой компьютерный бестселлер,856,1172,27%,На складе
